player,position,season,Team,TOI_all,TOI_EV,TOI_PP,TOI_SH,EV_GAR,PP_GAR,SH_GAR,Pens_GAR,GAR,WAR
ALEKSANDER.BARKOV,1,20162017,FLA,1183,899,174,76,11.3,0.1,1.2,3.0,15.6,3.0
ALEX.TANGUAY,1,20102011,CGY,1560,1141,283,101,12.6,1.9,0.0,1.0,15.5,3.0
AUSTON.MATTHEWS,1,20172018,TOR,1124,958,132,1,12.6,1.6,0.0,2.8,17.0,3.0
BRYAN.LITTLE,1,20102011,ATL,1403,1064,183,128,11.8,1.2,0.0,2.5,15.6,3.0
CHRIS.KUNITZ,1,20112012,PIT,1492,1172,287,11,11.7,3.6,0.0,0.1,15.4,3.0
DANIEL.SEDIN,1,20092010,VAN,1202,932,209,15,15.5,1.5,0.0,-1.2,15.9,3.0
DAVID.BACKES,1,20102011,STL,1616,1210,218,142,14.0,2.2,0.0,-0.6,15.5,3.0
ERIC.STAAL,1,20082009,CAR,1721,1198,341,120,11.2,1.1,0.0,4.2,16.5,3.0
EVGENI.MALKIN,1,20132014,PIT,1201,902,274,2,9.0,4.8,0.0,1.4,15.2,3.0
GABRIEL.LANDESKOG,1,20172018,COL,1571,1160,278,87,12.0,2.6,0.0,2.1,16.8,3.0
JOE.THORNTON,1,20082009,S.J,1592,1240,300,20,9.8,2.1,0.0,4.6,16.6,3.0
JOE.THORNTON,1,20112012,S.J,1678,1270,273,83,9.1,2.3,0.1,4.0,15.4,3.0
JOHNNY.GAUDREAU,1,20152016,CGY,1567,1240,280,4,9.8,1.0,0.0,4.4,15.2,3.0
LOUI.ERIKSSON,1,20112012,DAL,1620,1229,210,144,9.3,1.5,1.5,3.0,15.3,3.0
MARC-EDOUARD.VLASIC,2,20132014,S.J,1678,1412,57,176,13.4,0.0,0.4,1.6,15.4,3.0
MARK.SCHEIFELE,1,20152016,WPG,1317,1069,188,21,13.0,0.7,0.0,1.8,15.4,3.0
MICHAEL.RYDER,1,20082009,BOS,1083,844,224,1,12.4,2.7,0.0,1.4,16.5,3.0
MIKE.CAMMALLERI,1,20082009,CGY,1402,1054,321,3,9.6,4.3,0.0,2.4,16.3,3.0
MIKE.GREEN,2,20082009,WSH,1750,1199,365,164,5.7,8.6,1.0,1.1,16.4,3.0
MIKE.RIBEIRO,1,20072008,DAL,1399,1044,321,1,9.8,3.6,0.0,2.2,15.6,3.0
NATHAN.MACKINNON,1,20172018,COL,1473,1138,264,23,10.0,5.0,0.0,1.6,16.6,3.0
NIKITA.KUCHEROV,1,20172018,T.B,1585,1266,276,1,9.2,4.6,0.0,3.0,16.8,3.0
PATRICE.BERGERON,1,20132014,BOS,1439,1090,157,156,13.3,0.6,1.6,-0.1,15.4,3.0
PATRICK.SHARP,1,20092010,CHI,1485,1144,226,90,13.4,2.9,0.0,-0.2,16.1,3.0
PAVEL.DATSYUK,1,20102011,DET,1082,848,176,37,11.7,0.0,1.3,2.9,15.8,3.0
RYAN.SUTER,2,20162017,MIN,2206,1747,222,183,14.1,0.9,0.6,-0.1,15.5,3.0
SHEA.WEBER,2,20132014,NSH,2123,1622,241,204,7.5,4.8,1.6,1.5,15.4,3.0
SIDNEY.CROSBY,1,20102011,PIT,899,636,220,18,10.1,2.7,0.0,2.8,15.6,3.0
TEDDY.PURCELL,1,20112012,T.B,1304,1079,198,3,10.6,3.4,0.0,1.3,15.3,3.0
TRAVIS.ZAJAC,1,20082009,N.J,1528,1075,261,162,11.4,3.1,0.2,1.4,16.1,3.0
ALEKSANDER.BARKOV,1,20172018,FLA,1744,1275,266,136,11.4,0.6,1.2,3.2,16.5,2.9
ALEX.GOLIGOSKI,2,20112012,DAL,1617,1275,218,90,11.4,0.0,0.8,2.5,14.7,2.9
ALEX.OVECHKIN,1,20112012,WSH,1544,1233,280,2,6.4,4.2,0.0,4.2,14.8,2.9
ALEX.OVECHKIN,1,20142015,WSH,1646,1288,304,1,8.7,4.3,0.0,1.9,14.8,2.9
ALEX.STEEN,1,20112012,STL,822,623,108,72,13.0,0.9,0.0,0.7,14.6,2.9
ANDREW.BRUNETTE,1,20082009,MIN,1354,1056,266,1,7.4,6.5,0.0,1.6,15.6,2.9
BRAYDEN.POINT,1,20172018,T.B,1609,1212,184,161,10.3,2.1,0.0,3.6,16.0,2.9
